#   gal ID      M*           (g-r)       SFR
  668240    3.2218e+08     0.2734    4.1483e-02
  668962    8.7768e+08     0.2610    1.4363e-01
  670218    9.8446e+08     0.1806    3.4250e-01
  671155    4.4075e+08     0.1456    2.3327e-01
  676808    8.1923e+08     0.2945    6.0561e-02
  676908    3.7843e+08     0.2853    3.9856e-02
  678756    3.0236e+08     0.2236    4.7980e-02
  679463    2.1627e+08     0.2314    6.3927e-02
  680811    2.1807e+08     0.2591    2.4741e-02
  688135    6.6490e+08     0.1359    4.7515e-01
  688299    9.8491e+08     0.2053    2.0540e-01
  691774    6.6900e+08     0.2939    1.1743e-01
  691956    6.7375e+08     0.2855    7.7664e-02
  695063    9.2923e+08     0.3125    6.3923e-02
  696147    5.5828e+08     0.2186    1.3572e-01
  697278    5.5180e+08     0.2731    4.2368e-02
  698363    8.3141e+08     0.2402    1.5172e-01
  698567    7.2155e+08     0.3156    5.4551e-02
  700434    4.7566e+08     0.2357    9.1104e-02
  700994    8.0819e+08     0.2573    1.4625e-01
  701081    8.3491e+08     0.2796    1.2025e-01
  701644    6.3144e+08     0.1723    1.4448e-01
  702364    6.4487e+08     0.2333    8.3270e-02
  702512    8.8445e+08     0.2577    1.4579e-01
  702925    3.4495e+08     0.2734    5.7266e-02
  703249    7.0505e+08     0.1131    4.2631e-01
  703312    4.7913e+08     0.2496    8.4140e-02
  704690    5.2234e+08     0.3600    5.0865e-02
  704933    1.4184e+08     0.1842    2.2779e-02
  705065    9.2696e+08     0.2350    1.4425e-01
  706938    6.1313e+08     0.3324    7.2700e-02
  706996    2.3930e+08     0.2148    7.4672e-02
  708293    5.3126e+08     0.2325    8.8347e-02
  708747    5.1146e+08     0.3599    5.0269e-02
  709224    3.8315e+08     0.2047    4.4738e-02
  711069    8.0031e+08     0.2649    9.6644e-02
  712224    4.8999e+08     0.2803    8.0147e-02
  712457    7.1053e+08     0.1888    2.4705e-01
  712942    3.8915e+08     0.2240    1.5324e-01
  713737    3.6477e+08     0.1551    1.0204e-01
  715007    3.8238e+08     0.2848    4.5544e-02
  716514    1.6416e+08     0.2824    1.9693e-02
  717670    4.0195e+08     0.2558    2.6056e-02
  717724    2.0680e+08     0.2389    6.3258e-02
  717970    3.8666e+08     0.1963    6.1996e-02
  719261    9.4000e+08     0.3077    1.5541e-01
  719318    4.3279e+08     0.2271    3.1327e-02
  720242    5.6935e+08     0.2478    8.1301e-02
  720295    2.0395e+08     0.2451    3.5964e-02
  720565    5.8715e+08     0.2770    8.0762e-02
  720668    2.8471e+08     0.2725    4.2552e-02
  721110    2.9147e+08     0.3521    2.4975e-02
  722070    2.2706e+08     0.2216    4.8445e-02
  723275    2.5040e+08     0.2187    5.9273e-02
  724130    3.6468e+08     0.3689    3.2044e-02
  724315    4.6324e+08     0.2495    8.4714e-02
  724363    1.1493e+08     0.2869    8.4680e-03
  724832    7.1110e+08     0.2186    1.3284e-01
  725173    1.6850e+08     0.2065    1.3513e-02
  725595    5.0259e+08     0.2782    5.6231e-02
  726832    8.4676e+08     0.2603    8.6847e-02
  728072    4.7705e+08     0.2927    7.8588e-02
  728769    6.3839e+08     0.2914    7.7896e-02
  728859    3.2858e+08     0.3516    2.9927e-02
  729716    2.5619e+08     0.3700    2.0601e-02
  730232    4.3709e+08     0.2750    6.0442e-02
  730665    4.1181e+08     0.3055    5.4148e-02
  730715    6.3358e+08     0.3403    4.3667e-02
  733681    1.7787e+08     0.3088    1.2490e-02
  733966    3.7210e+08     0.3751    2.6400e-02
  734128    8.2547e+08     0.1801    2.5912e-01
  734329    6.6479e+08     0.2860    1.4780e-01
  734757    6.5031e+08     0.3762    4.7216e-02
  734957    3.8581e+08     0.2323    8.9618e-02
  735012    3.9901e+08     0.2226    7.6734e-02
  735686    4.3081e+08     0.3540    6.1363e-02
  736619    3.7985e+08     0.2160    7.0792e-02
  737043    3.1895e+08     0.4089    9.5853e-03
  737650    2.2078e+08     0.4382    1.4136e-02
  737912    4.7145e+08     0.3145    6.4446e-02
  738739    3.2803e+08     0.3791    3.2683e-02
  739797    5.3430e+08     0.3625    2.4655e-02
  740272    2.0687e+08     0.2997    3.6058e-02
  740778    3.9739e+08     0.2875    3.3921e-02
  740805    4.9198e+08     0.2078    1.7726e-01
  740918    2.5778e+08     0.2736    6.8987e-02
  741146    1.5178e+08     0.1659    5.5915e-02
  742461    2.5791e+08     0.4323    1.3874e-02
  742482    1.4041e+08     0.3276    1.7343e-02
  742591    4.6912e+08     0.2710    6.1539e-02
  742891    8.1180e+07     0.2773    8.4236e-03
  744230    2.9837e+08     0.3604    4.3756e-02
  745475    2.7274e+08     0.4102    1.9668e-02
  748925    2.6228e+08     0.3099    2.0462e-02
  749096    1.4740e+08     0.3281    1.0379e-02
  749339    2.3096e+08     0.3712    1.9311e-02
  750641    1.2188e+08     0.2716    1.2905e-02
  751066    1.5237e+08     0.2552    3.1810e-02
  753024    2.2476e+08     0.3116    2.7693e-02
  754311    4.6001e+08     0.3216    7.7203e-02
  755320    1.2002e+08     0.2869    2.2119e-02
  757131    2.1830e+08     0.3160    3.1224e-02
  757348    3.4458e+08     0.3945    3.1071e-02
  757749    2.4531e+08     0.2382    7.1415e-02
  758154    2.5269e+08     0.2681    4.8807e-02
  760393    9.4234e+07     0.1785    1.8897e-02
  762639    1.7627e+08     0.2475    4.5834e-02
  762823    1.2746e+08     0.1527    3.3187e-02
  763398    2.6556e+08     0.5215    7.1239e-03
  763583    1.2466e+08     0.1758    6.5928e-02
  764142    8.8623e+07     0.3065    8.2928e-03
  766541    1.3102e+08     0.2571    2.9077e-02
  769317    2.2309e+08     0.2562    3.7710e-02
  770657    2.4910e+08     0.4283    9.7845e-03
  770839    1.8559e+08     0.1865    6.8263e-02
  772484    9.5513e+07     0.2465    2.1841e-02
  774350    1.8806e+08     0.3175    2.8399e-02
  774688    9.8881e+07     0.4053    6.1907e-03
  774837    1.7072e+08     0.3737    8.0168e-03
  776615    6.4121e+07     0.2498    1.4491e-02
  776767    8.0403e+07     0.2507    1.2844e-02
  778625    1.2471e+08     0.3904    1.1028e-02
  779893    2.7749e+08     0.4377    1.4512e-02
  780838    1.7018e+08     0.2877    2.2673e-02
  782123    4.3167e+07     0.0909    6.7228e-03
  784401    6.8116e+07     0.2584    1.8234e-02
  786896    2.1652e+08     0.2209    6.5584e-02
  791167    1.3081e+08     0.1514    6.4268e-02
  793180    4.1457e+07     0.5430    2.0286e-03
  809575    1.3028e+08     0.4363    9.3171e-03
  812595    6.5696e+07     0.3112    1.1866e-02
  826940    1.3269e+08     0.4747    1.1216e-02
  832514    4.8041e+07     0.4204    2.1596e-03
  844911    1.0061e+08     0.3418    1.1214e-02
