#   gal ID      M*           rh* 
      45    1.2366e+09     3.2727
      53    1.0901e+09     3.8188
      57    6.6926e+08     2.0304
      62    1.2268e+09     1.3724
      69    2.8908e+08     1.7641
      75    5.4645e+08     1.4702
      81    1.2579e+08     0.6526
      83    6.5333e+08     2.2621
      84    6.8104e+08     2.1258
      85    9.9621e+08     1.6362
      86    7.5907e+08     1.0373
      88    1.0967e+08     0.5008
      89    4.9692e+08     1.5406
      91    9.2937e+08     0.3675
      93    8.6211e+08     2.4904
      95    7.0425e+08     2.2440
      96    4.2894e+08     0.9749
      97    9.1010e+08     2.3886
      99    5.1069e+08     1.2747
     103    5.8805e+08     2.3491
     104    4.8586e+08     2.4034
     105    1.1821e+09     2.9154
     106    3.5351e+08     1.7875
     107    5.7071e+08     2.2715
     110    2.4357e+08     1.7125
     111    2.7544e+08     1.0691
     113    7.4780e+08     2.3550
     114    8.1838e+08     3.0058
     116    1.1258e+09     2.7728
     119    1.5807e+08     0.8520
     123    3.7858e+08     1.8350
     130    3.2185e+08     1.6304
     131    3.2381e+08     2.0596
     132    4.4455e+07     1.0065
     134    5.1351e+08     3.7194
     135    9.8775e+08     2.6484
     136    1.2991e+08     1.3035
     137    3.7966e+07     0.9124
     139    4.9879e+08     1.4490
     140    3.5166e+08     1.8642
     141    1.9311e+08     1.3022
     142    1.2251e+09     1.9810
     143    1.4570e+08     0.6370
     145    5.5419e+08     2.3425
     146    4.4702e+08     2.9969
     149    9.1318e+08     1.7169
     150    2.2420e+08     1.8262
     151    5.5127e+08     3.9519
     153    6.0452e+07     1.1013
     154    2.0785e+08     1.3384
     156    6.8963e+08     0.4355
     159    1.7346e+08     1.9951
     162    1.2260e+09     1.9908
     163    4.9882e+08     3.5080
     164    8.1271e+07     0.8737
     165    5.4631e+08     0.3476
     168    3.5077e+08     1.8382
     170    6.2808e+07     1.0280
     171    6.8097e+07     1.1848
     172    7.1596e+08     2.3804
     175    8.7069e+08     2.6999
     176    1.3852e+08     1.1493
     177    7.8297e+07     1.5263
     178    4.8162e+08     1.9460
     179    1.1365e+09     3.2718
     180    9.9797e+08     3.2898
     181    1.2352e+09     1.8980
     182    1.2663e+08     1.3420
     183    2.1243e+08     1.9692
     184    7.4243e+07     0.9454
     185    6.1854e+07     0.9203
     187    4.1630e+07     0.9394
     189    9.5875e+08     1.5779
     190    1.4482e+08     0.6190
     191    2.7207e+08     1.4031
     193    3.7598e+08     1.9929
     194    7.5514e+08     1.6868
     195    1.0082e+09     1.3300
     196    2.0296e+08     1.9901
     197    1.6415e+08     1.1693
     198    2.7535e+08     1.4906
     199    6.5944e+08     2.8803
     200    1.1000e+09     1.3533
     201    1.7799e+08     1.8171
     202    1.6265e+08     0.8722
     203    3.6447e+08     1.5716
     205    2.9922e+08     2.5739
     206    2.3642e+08     1.4035
     207    4.2111e+08     2.2874
     208    7.1404e+07     1.1488
     209    3.1766e+07     1.2402
     211    1.0483e+09     1.3328
     212    1.2473e+08     1.3305
     213    1.1330e+09     1.0235
     214    5.3544e+08     1.5878
     215    8.6595e+08     1.0648
     216    4.4665e+07     1.6709
     217    1.0858e+08     1.1674
     218    4.3918e+07     1.4867
     219    9.3190e+08     1.1900
     220    1.8129e+08     1.8402
     224    2.7274e+07     1.2016
     225    7.8627e+07     1.0834
     226    1.1193e+08     0.9030
     227    1.2234e+08     1.6578
     228    6.0403e+07     1.6999
     229    6.0910e+08     2.2320
     230    4.9250e+07     1.3579
     231    1.0195e+09     1.3184
     232    1.1439e+09     0.8467
     233    4.8119e+08     4.0236
     234    1.0352e+08     1.6422
     235    2.8769e+08     1.5631
     236    3.8561e+07     0.8598
     237    1.0169e+09     0.9427
     238    3.1970e+08     1.6283
     239    9.4264e+08     1.1925
     241    3.1071e+07     2.4089
     242    3.7823e+07     1.7127
     244    4.6847e+08     2.2269
     245    2.1071e+08     1.2153
     246    3.9967e+07     0.9179
     247    5.8344e+07     1.7927
     248    1.8238e+08     0.5965
     249    6.2660e+08     1.1649
     250    3.1106e+07     0.9531
     251    2.5586e+08     1.2189
     252    5.0628e+07     1.5380
     253    9.3892e+07     0.6473
     256    7.3834e+08     1.2930
     259    9.0221e+08     0.9660
     260    8.9832e+07     2.6249
     261    9.3145e+08     0.7625
     264    2.6763e+08     2.0613
     265    2.8386e+07     1.3315
     266    6.4948e+08     2.1068
     267    1.2260e+08     2.2492
     268    4.2438e+08     2.7090
     272    7.4111e+08     1.1486
     273    7.5016e+08     1.2346
     275    6.9390e+07     1.2554
     277    1.2891e+08     1.6147
     279    5.6110e+08     1.6616
     280    1.7805e+08     1.5653
     281    8.3322e+08     0.6715
