#      M*         rh*_p5    rh*_p50    rh*_p95 
   2.8349e+07     0.6463     1.1329     1.9284
   3.4052e+07     0.6231     1.1074     1.8756
   4.0845e+07     0.6415     1.0852     1.8701
   4.8942e+07     0.6103     1.0656     1.8822
   5.8459e+07     0.5685     1.0428     1.8979
   6.9823e+07     0.5449     1.0337     1.9393
   8.3965e+07     0.4925     1.0182     1.8566
   1.0129e+08     0.4983     1.0395     1.8550
   1.2141e+08     0.4384     1.0367     1.8538
   1.4498e+08     0.4424     1.0581     1.9970
   1.7433e+08     0.4071     1.0530     2.1838
   2.1008e+08     0.3756     1.1433     2.1909
   2.5213e+08     0.3613     1.1750     2.2515
   3.0095e+08     0.3814     1.2673     2.3882
   3.5940e+08     0.3898     1.3493     2.6075
   4.3521e+08     0.3836     1.4609     3.0312
   5.2319e+08     0.4018     1.6555     3.4807
   6.3007e+08     0.4820     1.7355     3.4955
   7.4569e+08     0.6250     1.8384     3.7855
   8.9352e+08     0.8537     1.9663     4.2749
   1.0927e+09     0.8326     2.2800     4.6665
