#   gal ID      M*          age        k_rot        M200
  668240    3.2218e+08     4.9708     0.3728    1.0386e+11
  668962    8.7768e+08     5.5558     0.6105    1.5664e+11
  670218    9.8446e+08     3.7879     0.6367    1.4114e+11
  671155    4.4075e+08     5.4220     0.6238    1.3908e+11
  676808    8.1923e+08     4.0153     0.3785    1.5234e+11
  676908    3.7843e+08     4.9116     0.5169    1.0112e+11
  678756    3.0236e+08     6.0001     0.4143    1.0632e+11
  679463    2.1627e+08     3.8543     0.6914    7.2893e+10
  680811    2.1807e+08     5.6130     0.4011    1.6465e+11
  688135    6.6490e+08     4.1182     0.6520    1.3718e+11
  688299    9.8491e+08     4.7842     0.6830    1.4633e+11
  691774    6.6900e+08     4.1926     0.5417    1.2640e+11
  691956    6.7375e+08     5.3938     0.6183    1.1569e+11
  695063    9.2923e+08     6.7633     0.6051    1.3883e+11
  696147    5.5828e+08     4.6284     0.6017    9.1861e+10
  697278    5.5180e+08     4.9144     0.4694    1.1930e+11
  698363    8.3141e+08     5.0028     0.5429    1.2068e+11
  698567    7.2155e+08     6.4922     0.5880    1.2328e+11
  700434    4.7566e+08     3.9527     0.5702    1.1688e+11
  700994    8.0819e+08     5.1040     0.7382    1.1743e+11
  701081    8.3491e+08     4.6440     0.5917    1.1829e+11
  701644    6.3144e+08     5.7621     0.6674    1.1883e+11
  702364    6.4487e+08     5.7380     0.6642    9.8197e+10
  702512    8.8445e+08     6.1726     0.5745    1.2316e+11
  702925    3.4495e+08     6.9983     0.4658    1.1955e+11
  703249    7.0505e+08     5.2057     0.6077    1.1907e+11
  703312    4.7913e+08     4.4676     0.4815    1.1325e+11
  704690    5.2234e+08     5.2916     0.5079    7.9286e+10
  704933    1.4184e+08     5.9115     0.4530    4.6989e+10
  705065    9.2696e+08     4.9599     0.7642    1.1487e+11
  706938    6.1313e+08     5.7113     0.5987    1.1560e+11
  706996    2.3930e+08     5.7537     0.3953    1.0797e+11
  708293    5.3126e+08     6.8980     0.4639    1.1237e+11
  708747    5.1146e+08     7.2577     0.7359    1.0226e+11
  709224    3.8315e+08     5.6736     0.5829    1.0780e+11
  711069    8.0031e+08     5.6265     0.6349    1.0999e+11
  712224    4.8999e+08     4.7262     0.6798    1.0271e+11
  712457    7.1053e+08     4.4429     0.4923    1.0922e+11
  712942    3.8915e+08     4.1912     0.4626    1.0575e+11
  713737    3.6477e+08     4.7312     0.5071    1.0462e+11
  715007    3.8238e+08     6.5588     0.6714    1.0141e+11
  716514    1.6416e+08     4.8537     0.4925    9.4233e+10
  717670    4.0195e+08     6.0315     0.5634    8.9585e+10
