#     M*           rh* 
   3.2218e+08     2.9666
   8.7768e+08     5.9856
   9.8446e+08     4.4439
   4.4075e+08     3.7168
   8.1923e+08     4.6124
   3.7843e+08     4.1715
   3.0236e+08     2.4072
   2.1627e+08     5.0930
   2.1807e+08     2.2133
   6.6490e+08     3.6005
   9.8491e+08     6.1077
   6.6900e+08     3.9476
   6.7375e+08     4.3130
   9.2923e+08     4.3505
   5.5828e+08     4.0854
   5.5180e+08     4.3922
   8.3141e+08     4.3790
   7.2155e+08     4.8637
   4.7566e+08     3.5239
   8.0819e+08     6.1098
   8.3491e+08     4.6944
   6.3144e+08     5.8414
   6.4487e+08     5.4732
   8.8445e+08     4.4757
   3.4495e+08     3.7469
   7.0505e+08     3.8436
   4.7913e+08     5.0659
   5.2234e+08     3.9638
   1.4184e+08     2.3361
   9.2696e+08     6.5904
   6.1313e+08     4.0658
   2.3930e+08     2.9352
   5.3126e+08     3.5551
   5.1146e+08     5.2780
   3.8315e+08     4.9686
   8.0031e+08     4.4418
   4.8999e+08     4.2062
   7.1053e+08     4.1672
   3.8915e+08     3.2781
   3.6477e+08     2.6443
   3.8238e+08     6.4591
   1.6416e+08     4.1228
   4.0195e+08     4.2199
   2.0680e+08     2.6779
   3.8666e+08     3.6057
   9.4000e+08     4.2915
   4.3279e+08     3.0452
   5.6935e+08     4.3730
   2.0395e+08     3.1353
   5.8715e+08     3.9639
   2.8471e+08     3.9584
   2.9147e+08     3.2151
   2.2706e+08     2.7130
   2.5040e+08     2.5000
   3.6468e+08     2.9686
   4.6324e+08     3.1514
   1.1493e+08     2.0269
   7.1110e+08     3.9113
   1.6850e+08     2.6992
   5.0259e+08     3.6924
   8.4676e+08     4.3633
   4.7705e+08     3.4130
   6.3839e+08     4.2824
   3.2858e+08     3.0559
   2.5619e+08     2.3229
   4.3709e+08     3.2787
   4.1181e+08     3.3953
   6.3358e+08     4.8234
   1.7787e+08     2.1856
   3.7210e+08     3.4556
   8.2547e+08     4.4129
   6.6479e+08     3.7692
   6.5031e+08     3.4993
   3.8581e+08     3.3392
   3.9901e+08     3.7084
   4.3081e+08     4.5510
   3.7985e+08     2.6778
   3.1895e+08     3.1732
   2.2078e+08     2.8084
   4.7145e+08     3.7016
   3.2803e+08     2.7048
   5.3430e+08     3.7928
   2.0687e+08     2.2855
   3.9739e+08     3.1828
   4.9198e+08     3.4932
   2.5778e+08     2.2735
   1.5178e+08     2.1437
   2.5791e+08     2.6052
   1.4041e+08     2.3619
   4.6912e+08     3.7719
   8.1180e+07     2.2215
   2.9837e+08     3.1485
   2.7274e+08     4.9391
   2.6228e+08     4.0684
   1.4740e+08     2.2249
   2.3096e+08     2.2829
   1.2188e+08     2.1740
   1.5237e+08     3.0012
   2.2476e+08     3.2347
   4.6001e+08     3.2513
   1.2002e+08     2.6691
   2.1830e+08     3.6133
   3.4458e+08     3.5890
   2.4531e+08     2.6477
   2.5269e+08     2.9893
   9.4234e+07     2.3389
   1.7627e+08     2.2633
   1.2746e+08     1.8715
   2.6556e+08     2.3024
   1.2466e+08     1.9351
   8.8623e+07     2.1464
   1.3102e+08     2.8525
   2.2309e+08     3.9906
   2.4910e+08     3.2460
   1.8559e+08     3.1589
   9.5513e+07     1.9806
   1.8806e+08     2.4986
   9.8881e+07     2.4943
   1.7072e+08     2.1994
   6.4121e+07     2.0758
   8.0403e+07     1.9351
   1.2471e+08     2.2078
   2.7749e+08     2.9842
   1.7018e+08     3.6081
   4.3167e+07     2.2520
   6.8116e+07     2.0612
   2.1652e+08     2.5341
   1.3081e+08     2.2933
   4.1457e+07     1.9021
   1.7285e+08     3.1858
   9.6766e+08     5.6197
   1.3028e+08     1.9784
   6.5696e+07     2.2571
   1.3940e+08     3.3020
   1.3269e+08     1.9002
   4.8041e+07     2.3260
   1.0061e+08     1.8938
   1.4640e+08     2.0046
   7.2953e+07     2.6749
   1.3286e+08     2.0522
   2.3446e+08     2.3176
   4.9384e+07     1.8824
   1.4844e+08     2.0829
   1.0972e+08     1.9964
   4.8841e+07     3.1048
   1.6765e+08     2.3849
   3.3256e+07     2.1142
   4.6210e+07     1.9411
   3.1091e+08     2.4366
   3.6178e+07     1.8976
   3.9927e+07     1.8848
   2.0267e+08     2.5854
   9.7747e+07     2.7867
   3.1930e+07     2.0922
   9.0553e+07     1.9605
   3.6062e+07     2.0870
   4.4745e+07     2.3886
   7.6287e+07     2.5756
   8.2333e+07     2.0259
   4.0515e+07     2.7379
   4.0695e+07     2.3596
   4.7300e+07     1.8854
   7.6508e+07     2.1817
   7.4536e+07     2.5167
   4.4595e+07     2.5784
   3.3714e+07     2.5158
   8.8134e+07     2.0700
   5.8236e+07     2.2054
   1.1410e+08     2.0536
   8.6590e+07     2.3517
   4.1260e+07     2.2301
   1.2279e+08     1.8836
   6.4308e+07     2.0964
   5.1031e+07     2.1865
   5.4875e+07     1.9025
   3.2616e+07     1.9942
