#     M*          (g-r)       SFR
   1.7285e+08     0.6237    1.0000e-05
   9.6766e+08     0.6723    1.0000e-05
   1.3940e+08     0.6033    1.0000e-05
   1.4640e+08     0.6600    1.0000e-05
   7.2953e+07     0.6186    1.0000e-05
   1.3286e+08     0.6698    1.0000e-05
   2.3446e+08     0.6321    1.0000e-05
   4.9384e+07     0.6482    1.0000e-05
   1.4844e+08     0.6555    1.0000e-05
   1.0972e+08     0.6788    1.0000e-05
   4.8841e+07     0.6135    1.0000e-05
   1.6765e+08     0.6589    1.0000e-05
   3.3256e+07     0.6164    1.0000e-05
   4.6210e+07     0.6531    1.0000e-05
   3.1091e+08     0.7020    1.0000e-05
   3.6178e+07     0.6145    1.0000e-05
   3.9927e+07     0.6338    1.0000e-05
   2.0267e+08     0.6224    1.0000e-05
   9.7747e+07     0.6601    1.0000e-05
   3.1930e+07     0.6356    1.0000e-05
   9.0553e+07     0.6640    1.0000e-05
   3.6062e+07     0.6225    1.0000e-05
   4.4745e+07     0.6476    1.0000e-05
   7.6287e+07     0.6382    1.0000e-05
   8.2333e+07     0.6546    1.0000e-05
   4.0515e+07     0.6603    1.0000e-05
   4.0695e+07     0.6448    1.0000e-05
   4.7300e+07     0.6237    1.0000e-05
   7.6508e+07     0.6751    1.0000e-05
   7.4536e+07     0.6515    1.0000e-05
   4.4595e+07     0.6417    1.0000e-05
   3.3714e+07     0.6360    1.0000e-05
   8.8134e+07     0.6927    1.0000e-05
   5.8236e+07     0.6669    1.0000e-05
   1.1410e+08     0.6900    1.0000e-05
   8.6590e+07     0.6995    1.0000e-05
   4.1260e+07     0.6760    1.0000e-05
   1.2279e+08     0.7171    1.0000e-05
   6.4308e+07     0.6948    1.0000e-05
   5.1031e+07     0.6720    1.0000e-05
   5.4875e+07     0.7111    1.0000e-05
   3.2616e+07     0.6886    1.0000e-05
