#   gal ID      M*           (g-r)       SFR
      45    1.2366e+09     0.3574    1.0098e-01
      53    1.0901e+09     0.4198    6.6077e-02
      57    6.6926e+08     0.2662    1.3708e-01
      62    1.2268e+09     0.6677    1.0000e-05
      69    2.8908e+08     0.2678    4.1965e-02
      75    5.4645e+08     0.5999    1.1742e-02
      81    1.2579e+08     0.2405    3.5468e-02
      83    6.5333e+08     0.2760    1.0507e-01
      84    6.8104e+08     0.7099    1.0000e-05
      85    9.9621e+08     0.3653    1.3436e-01
      86    7.5907e+08     0.7093    1.0000e-05
      88    1.0967e+08     0.2323    4.1487e-02
      89    4.9692e+08     0.5747    1.0000e-05
      91    9.2937e+08     0.3286    3.6744e-01
      93    8.6211e+08     0.6983    1.0000e-05
      95    7.0425e+08     0.6550    1.0000e-05
      96    4.2894e+08     0.6922    1.0000e-05
      97    9.1010e+08     0.7126    1.0000e-05
      99    5.1069e+08     0.3872    6.6681e-02
     103    5.8805e+08     0.6924    1.0000e-05
     104    4.8586e+08     0.6342    1.0000e-05
     105    1.1821e+09     0.7158    1.0000e-05
     106    3.5351e+08     0.6086    1.0000e-05
     107    5.7071e+08     0.6905    1.0000e-05
     110    2.4357e+08     0.5532    1.0000e-05
     111    2.7544e+08     0.5484    6.2296e-03
     113    7.4780e+08     0.6957    1.0000e-05
     114    8.1838e+08     0.7008    1.0000e-05
     116    1.1258e+09     0.7234    1.0000e-05
     119    1.5807e+08     0.3519    2.3951e-02
     123    3.7858e+08     0.6196    1.0000e-05
     130    3.2185e+08     0.6304    1.0000e-05
     131    3.2381e+08     0.6860    1.0000e-05
     132    4.4455e+07     0.3657    4.1288e-03
     134    5.1351e+08     0.6902    1.0000e-05
     135    9.8775e+08     0.7309    1.0000e-05
     136    1.2991e+08     0.3134    1.9604e-02
     137    3.7966e+07     0.2900    4.3573e-03
     139    4.9879e+08     0.6318    1.0000e-05
     140    3.5166e+08     0.6876    1.0000e-05
     141    1.9311e+08     0.2522    4.0043e-02
     142    1.2251e+09     0.7424    1.0000e-05
     143    1.4570e+08     0.5921    1.0000e-05
     145    5.5419e+08     0.6926    1.0000e-05
     146    4.4702e+08     0.6327    1.0000e-05
     149    9.1318e+08     0.7004    1.0000e-05
     150    2.2420e+08     0.6563    1.0000e-05
     151    5.5127e+08     0.6709    1.0000e-05
     153    6.0452e+07     0.6776    1.0000e-05
     154    2.0785e+08     0.3744    3.0680e-02
     156    6.8963e+08     0.6575    1.0000e-05
     159    1.7346e+08     0.4343    1.1606e-02
     162    1.2260e+09     0.7307    1.0000e-05
     163    4.9882e+08     0.6883    1.0000e-05
     164    8.1271e+07     0.2729    1.4517e-02
     165    5.4631e+08     0.5948    1.0000e-05
     168    3.5077e+08     0.6962    1.0000e-05
     170    6.2808e+07     0.3652    3.3659e-05
     171    6.8097e+07     0.6591    1.0000e-05
     172    7.1596e+08     0.6968    1.0000e-05
     175    8.7069e+08     0.7236    1.0000e-05
     176    1.3852e+08     0.4643    1.0000e-05
     177    7.8297e+07     0.6211    1.0000e-05
     178    4.8162e+08     0.6902    1.0000e-05
