#     M*           rh* 
   1.2366e+09     3.2727
   1.0901e+09     3.8188
   6.6926e+08     2.0304
   1.2268e+09     1.3724
   2.8908e+08     1.7641
   5.4645e+08     1.4702
   1.2579e+08     0.6526
   6.5333e+08     2.2621
   6.8104e+08     2.1258
   9.9621e+08     1.6362
   7.5907e+08     1.0373
   1.0967e+08     0.5008
   4.9692e+08     1.5406
   9.2937e+08     0.3675
   8.6211e+08     2.4904
   7.0425e+08     2.2440
   4.2894e+08     0.9749
   9.1010e+08     2.3886
   5.1069e+08     1.2747
   5.8805e+08     2.3491
   4.8586e+08     2.4034
   1.1821e+09     2.9154
   3.5351e+08     1.7875
   5.7071e+08     2.2715
   2.4357e+08     1.7125
   2.7544e+08     1.0691
   7.4780e+08     2.3550
   8.1838e+08     3.0058
   1.1258e+09     2.7728
   1.5807e+08     0.8520
   3.7858e+08     1.8350
   3.2185e+08     1.6304
   3.2381e+08     2.0596
   4.4455e+07     1.0065
   5.1351e+08     3.7194
   9.8775e+08     2.6484
   1.2991e+08     1.3035
   3.7966e+07     0.9124
   4.9879e+08     1.4490
   3.5166e+08     1.8642
   1.9311e+08     1.3022
   1.2251e+09     1.9810
   1.4570e+08     0.6370
   5.5419e+08     2.3425
   4.4702e+08     2.9969
   9.1318e+08     1.7169
   2.2420e+08     1.8262
   5.5127e+08     3.9519
   6.0452e+07     1.1013
   2.0785e+08     1.3384
   6.8963e+08     0.4355
   1.7346e+08     1.9951
   1.2260e+09     1.9908
   4.9882e+08     3.5080
   8.1271e+07     0.8737
   5.4631e+08     0.3476
   3.5077e+08     1.8382
   6.2808e+07     1.0280
   6.8097e+07     1.1848
   7.1596e+08     2.3804
   8.7069e+08     2.6999
   1.3852e+08     1.1493
   7.8297e+07     1.5263
   4.8162e+08     1.9460
   1.1365e+09     3.2718
   9.9797e+08     3.2898
   1.2352e+09     1.8980
   1.2663e+08     1.3420
   2.1243e+08     1.9692
   7.4243e+07     0.9454
   6.1854e+07     0.9203
   4.1630e+07     0.9394
   9.5875e+08     1.5779
   1.4482e+08     0.6190
   2.7207e+08     1.4031
   3.7598e+08     1.9929
   7.5514e+08     1.6868
   1.0082e+09     1.3300
   2.0296e+08     1.9901
   1.6415e+08     1.1693
   2.7535e+08     1.4906
   6.5944e+08     2.8803
   1.1000e+09     1.3533
   1.7799e+08     1.8171
   1.6265e+08     0.8722
   3.6447e+08     1.5716
   2.9922e+08     2.5739
   2.3642e+08     1.4035
   4.2111e+08     2.2874
   7.1404e+07     1.1488
   3.1766e+07     1.2402
   1.0483e+09     1.3328
   1.2473e+08     1.3305
   1.1330e+09     1.0235
   5.3544e+08     1.5878
   8.6595e+08     1.0648
   4.4665e+07     1.6709
   1.0858e+08     1.1674
   4.3918e+07     1.4867
   9.3190e+08     1.1900
   1.8129e+08     1.8402
   2.7274e+07     1.2016
   7.8627e+07     1.0834
   1.1193e+08     0.9030
   1.2234e+08     1.6578
   6.0403e+07     1.6999
   6.0910e+08     2.2320
   4.9250e+07     1.3579
   1.0195e+09     1.3184
   1.1439e+09     0.8467
   4.8119e+08     4.0236
   1.0352e+08     1.6422
   2.8769e+08     1.5631
   3.8561e+07     0.8598
   1.0169e+09     0.9427
   3.1970e+08     1.6283
   9.4264e+08     1.1925
   3.1071e+07     2.4089
   3.7823e+07     1.7127
   4.6847e+08     2.2269
   2.1071e+08     1.2153
   3.9967e+07     0.9179
   5.8344e+07     1.7927
   1.8238e+08     0.5965
   6.2660e+08     1.1649
   3.1106e+07     0.9531
   2.5586e+08     1.2189
   5.0628e+07     1.5380
   9.3892e+07     0.6473
   7.3834e+08     1.2930
   9.0221e+08     0.9660
   8.9832e+07     2.6249
   9.3145e+08     0.7625
   2.6763e+08     2.0613
   2.8386e+07     1.3315
   6.4948e+08     2.1068
   1.2260e+08     2.2492
   4.2438e+08     2.7090
   7.4111e+08     1.1486
   7.5016e+08     1.2346
   6.9390e+07     1.2554
   1.2891e+08     1.6147
   5.6110e+08     1.6616
   1.7805e+08     1.5653
   8.3322e+08     0.6715
   5.4771e+07     0.6321
   2.5124e+07     1.3393
   2.3204e+08     0.5757
   9.9985e+07     1.5332
   6.5839e+07     1.2431
   5.1603e+07     0.8148
   3.2376e+07     0.8343
   1.2076e+08     1.3732
   3.0458e+08     2.0416
   2.7164e+08     2.4903
   5.5365e+08     1.4386
   5.9154e+07     0.6893
   6.7696e+08     0.7329
   2.0270e+08     1.4136
   5.1588e+07     1.5007
   2.7819e+07     1.4059
   7.9524e+08     0.4512
   3.0895e+07     1.4332
   2.5143e+08     1.5973
   4.8104e+08     1.1931
   3.5385e+08     1.5935
   6.9847e+08     0.6299
   7.3439e+08     0.5003
   1.2148e+08     2.5267
   7.0037e+07     0.8449
   2.0019e+08     2.0560
   4.1846e+08     1.2501
   4.2878e+08     1.4681
   8.8567e+07     1.2770
   5.4580e+07     1.7784
   1.2686e+08     1.6128
   5.7485e+08     0.7269
   3.6668e+08     1.4661
   2.3147e+08     0.3626
